,sentence,start,end,concept,docId
197,"DETROIT (AP) — Hyundai and Volkswagen each say they're partnering with a U.S. autonomous vehicle tech firm led by former executives from Google, Tesla and Uber. The companies on Thursday announced partnerships with Aurora Innovation, started last year by ex-Google autonomous car chief Chris Urmson and others. VW says its collaboration will help bring self-driving cars quickly to roads worldwide, while autonomous Hyundais are expected to be in the market by 2021. The partnerships are the latest in a string of tie-ups between traditional auto companies and tech firms as they race to be first with self-driving vehicles. Aurora is based in Pittsburgh and Palo Alto, California. It was started last year by Urmson, former Tesla executive Sterling Anderson, and ex-Uber autonomous vehicle leader Drew Bagnell. Terms of each partnership were not released.",15,21,Auto Brand,88
205,"NEW YORK (AP) — Toyota and Hyundai are recalling roughly a combined 110,000 trucks and sport utility vehicles, including the 2018 Toyota Tundra and Sequoia, and the 2018 Hyundai Santa Fe and Santa Fe Sport. In its recall, Hyundai says some of Santa Fe vehicles are at risk for the steering wheel breaking away from the steering column. Roughly 43,900 vehicles are included in its recall. Toyota is recalling roughly 64,900 Tundras and Sequoias, saying these vehicles are at risk for having their electronic stability control systems shutting down unexpectedly. Both car makers will notify impacted owners of the recalled vehicles, and if necessary, will repair the vehicles at no cost.",27,33,Auto Brand,100
216,DETROIT (AP) — Kia is recalling over a half-million vehicles in the U.S. because the air bags may not work in a crash. The recall apparently is related to federal investigation into air bag failures in Kia and partner Hyundai vehicles that were linked to four deaths. Vehicles covered by the recall include 2010 through 2013 Forte compact cars and 2011 through 2013 Optima midsize cars. Also covered are Optima Hybrid and Sedona minivans from 2011 and 2012. A Hyundai spokesman says he's checking to see if his company has a recall. Kia says it's working on a remedy and will notify owners June 27. Kia says in government documents that a short circuit can develop in an air bag control computer. The company has not yet developed a repair.,218,224,Auto Brand,92
219,"WASHINGTON (AP) — Seeking leverage in immigration talks, President Donald Trump overstated the impact of a March 5 deadline after which he suggests a program protecting thousands of young immigrants from deportation would end. In fact, a recent court ruling has rendered that deadline basically meaningless. The president also made a puzzling plain-as-day exaggeration about the size of the TV audience that tuned in for his big speech to Congress last week. It capped another week of Trump statements — many of them made during his State of the Union address — that strained credulity, on immigration, energy, crime, health care and more. A look at some of the questionable claims: TRUMP: ""March 5th is rapidly approaching and the Democrats are doing nothing about DACA. They Resist, Blame, Complain and Obstruct - and do nothing. Start pushing Nancy Pelosi and the Dems to work out a DACA fix, NOW!"" — tweet Thursday. THE FACTS: Not so fast. A recent court ruling temporarily blocking the Trump administration's plan to end the program has left the March 5 deadline all but moot for now. The deadline dates back to Sept. 5, when Trump announced that he was ending the Obama administration's Deferred Action for Childhood Arrivals program, which provided protection from deportation and work permits for about 800,000 young people who were brought to the U.S. as children and are now living here illegally. To lessen the blow, the administration announced that recipients whose status was set to expire before March 5 would be allowed to apply for renewals, so long as their applications were received within a month. Trump framed that as giving Congress six months to come up with a legislative fix. But that timeline became far less significant when a federal court judge in San Francisco blocked Trump's action, saying young immigrants would suffer ""irreparable harm."" In response, U.S. Citizenship and Immigration Services announced that it was once again accepting DACA renewals, processing them just as they had before Trump's September announcement — including renewals for applicants whose permits expire after March 5. The judge's order to accept DACA renewals will remain in effect at least until the Supreme Court rules definitively. Trump is using the March 5 deadline as pressure for Democrats to come to the table, while Democrats will probably spend the next month arguing that a failure to act leaves DACA recipients vulnerable and living in fear. But without a looming deadline, it seems doubtful there would be the same urgency to get something done. ___ TRUMP: ""Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched, the highest number in history."" — tweet Wednesday. THE FACTS: Not the highest in history. Trump's TV viewership as measured by Nielsen (45.6 million, as he said) trailed that for first State of the Union speeches by Barack Obama (48 million), George W. Bush (51.7 million) and Bill Clinton (46.8 million). Trump also got more TV viewers in his first speech to Congress a year ago (47.7 million) than in his first State of the Union address Tuesday night. There is no reliable measure for how many people watched Tuesday on their computers or phones, a slice of viewership that is not counted by Nielsen. But Trump was not factoring in those viewers in his false claim. He cited the Nielsen number only. ___ TRUMP: ""We've signed into law the biggest tax cuts and reforms in American history."" — remarks Thursday to Republican lawmakers' retreat. THE FACTS: No. The December tax overhaul ranks behind Ronald Reagan's in the early 1980s, post-World War II tax cuts and at least several more. He made the same claim Tuesday night and countless times before that. An analysis by the Committee for a Responsible Federal Budget in the fall put Trump's package as the eighth biggest since 1918. As a percentage of the total economy, Reagan's 1981 cut is the biggest followed by the 1945 rollback of taxes that financed World War II. Valued at $1.5 trillion over 10 years, Trump's plan is indeed large and expensive. But it's much smaller than originally intended. Back in the spring, it was shaping up as a $5.5 trillion package. Even then it would have only been the third largest since 1940 as a share of gross domestic product. ___ STATE OF THE UNION SPEECH: TRUMP: ""The third pillar (of my immigration plan) ends the visa lottery — a program that randomly hands out green cards without any regard to skill, merit or the safety of our people."" THE FACTS: The program is not nearly that random and it does address skills, merit and safety. The diversity visa program awards up to 50,000 green cards a year to people from underrepresented countries, largely in Africa. It requires applicants to have completed a high school education or have at least two years of experience in the past five years in a selection of fields identified by the Labor Department. Winners are then randomly selected by computer, from that pool of applicants who met the pre-conditions. Winners must submit to extensive background checks, just like any other immigrant. ____ TRUMP: ""We have ended the war on American energy."" THE FACTS: What war? Energy production was unleashed in past administrations, particularly Obama's. Advances in hydraulic fracturing before Trump became president made it economical to tap vast reserves of natural gas. Oil production also greatly increased, reducing imports. Before the 2016 presidential election, the U.S. for the first time in decades was getting more energy domestically than it imports. Before Obama, George W. Bush was no adversary of the energy industry. One of Trump's consequential actions as president on this front was to approve the Keystone XL pipeline — a source of foreign oil, from Canada. ___ TRUMP: ""We are now very proudly an exporter of energy to the world."" THE FACTS: There's nothing new in that. The U.S. has long exported all sorts of energy, while importing even more. If Trump meant that the U.S. has become a net exporter of energy, he's rushing things along. The U.S. Energy Information Administration projects that the U.S. will become a net energy exporter in the next decade, primarily because of a boom in oil and gas production that began before Trump's presidency. The Trump White House has predicted that could happen sooner, by 2020. But that's not ""now."" ___ TRUMP: ""For decades, open borders have allowed drugs and gangs to pour into our most vulnerable communities."" THE FACTS: The borders were far from open before his presidency, however imperfectly they may have been guarded. The government under George W. Bush and Obama roughly doubled the ranks of the Border Patrol, and Bush extended fencing to cover nearly one-third of the border during his final years in office. The Obama administration deported more than 2 million immigrants during the eight years he was in office, more than in previous administrations. Border arrests, a useful if imperfect gauge of illegal crossings, have dropped sharply over the past decade. ___ TRUMP: ""Many car companies are now building and expanding plants in the United States, something we haven't seen for decades."" THE FACTS: He's wrong about recent decades. The auto industry has regularly been opening and expanding factories since before Trump became president. Toyota opened its Mississippi factory in 2011. Hyundai's plant in Alabama dates to 2005. In 2010, Tesla fully acquired and updated an old factory to produce its electric vehicles. Trump also declared that ""Chrysler is moving a major plant from Mexico to Michigan."" That's not exactly the case, either. Chrysler announced it will move production of heavy-duty pickup trucks from Mexico to Michigan, but the plant is not closing in Mexico. It will start producing other vehicles for global sales and no change in its workforce is anticipated. ___ TRUMP: ""We repealed the core of the disastrous Obamacare — the individual mandate is now gone."" THE FACTS: No, it's not gone. It's going, in 2019. People who go without insurance this year are still subject to fines. Congress did repeal the unpopular requirement that most Americans carry insurance ",7406,7412,Auto Brand,101
226,"WASHINGTON (AP) — A look at one of President Donald Trump's statements from his prepared State of the Union address on Tuesday night and how it compares with the facts: TRUMP: ""Many car companies are now building and expanding plants in the United States — something we have not seen for decades."" THE FACTS: He's wrong about recent decades. The auto industry has regularly been opening and expanding factories since before became president. Toyota opened its Mississippi factory in 2011. Hyundai's plant in Alabama dates to 2005. In 2010, Tesla fully acquired and updated an old factory to produce its electric vehicles. Trump also declared that ""Chrysler is moving a major plant from Mexico to Michigan."" That's not exactly the case, either. Chrysler announced it will move production of heavy-duty pickup trucks from Mexico to Michigan, but the plant is not closing in Mexico. It will start producing other vehicles for global sales and no change in its workforce is anticipated. ___ Find AP Fact Checks at http://apne.ws/2kbx8bd Follow @APFactCheck on Twitter: https://twitter.com/APFactCheck EDITOR'S NOTE _ A look at the veracity of claims by political figures",489,495,Auto Brand,102
317,"Most car shoppers know that a used car can be a fantastic value. In the long run, a used car will usually cost less than a new one, and it will virtually always be cheaper than leasing a car every three years. As practical as it is to buy a used car, it can also present an opportunity to get a little fancy. This is where ""cousin cars"" come in. Cousin cars are vehicles that are produced by one parent company and offered in two versions: one for the luxury buyers and the other for the masses. But because luxury vehicles tend to depreciate more quickly than everyday cars, the price difference often narrows as the cars age. The upshot is that if you shop for an upscale used cousin car, it is often possible to get it for a price that's close to that of its more mundane relation. Some cousin car pairings include the workaday and the luxurious , the fuel-efficient and the sporty , and the commodious and the fully appointed . Here are a few examples across different car segments. These are based on average transaction prices for the year, make and model discussed. They do not represent any particular trim level: SEDANS: and In 2012, the average transaction price for a new Lincoln MKZ was roughly $37,024. That's about $11,600 more than the average price of its mass-market cousin, the 2012 Ford Fusion, which had an average sale price of $25,427. The average sale price of a used 2012 MKZ is now $12,887 compared to $9,939 for a 2012 Fusion, narrowing the difference to about $2,900. If you opt to buy an MKZ for that extra $2,900, you'll get a plusher cabin, fancier styling, heated and cooled leather seats with memory function, and a long list of other standard features. and If you were considering both the ES 350 and the Camry as new cars six years ago, you would have had to decide if the Lexus, which had an average transaction price of $38,415, was worth paying $14,000 more than the well-equipped but less opulent Camry. The Camry's average sale price was $24,306 in the same time frame. If you shop for them as used cars now, you'll find the ES 350 will have an average sale price of $17,775, only about $5,500 more than the average used car price of a 2012 Camry, which is $12,285. The ES 350 has upgraded features such as smart-key access, leather-wrapped steering wheel and shifter, dual-zone automatic air conditioning, larger wheels and tires, the option of parking assist, and a quieter, more refined ride quality. MIDSIZE SUV: and The 2013 Lexus GX is a midsize SUV that has all the features you'd expect in a high-end vehicle. But its standard V8 engine, off-road prowess and 6,500-pound towing capability set it apart from luxury crossovers that wouldn't dare to cross a stream. Its utility reflects its kinship to the Toyota 4Runner: They share a fair amount of automotive DNA. In 2013, the GX had an average transaction price of $57,181 compared to $36,704 for the 2013 4Runner, for a $20,477 difference. As used vehicles, the average price for a 2103 GX is about $29,509. A used 2013 4Runner will have an average sale price of $25,245. That difference is only about $4,300. If you pony up the extra money for the GX, you would get a well-appointed interior that includes heated and cooled leather seats, a moonroof and a power-folding third-row seat. The Lexus also has a more premium feel and an upscale exterior to match. LARGE SUV: and A new 2013 Escalade had an average price of $71,747. The average sale price of its cousin, the 2013 GMC Yukon, was $55,041, for a $16,706 difference. Fast-forward to 2018, and the price average price of a used 2013 Escalade is $35,871, compared to $31,346 for a 2013 Yukon, a difference of about $4,500. The extra charge for the Escalade gets you an engine that's larger and more powerful than the engines found in the Yukon line (with the exception of the Yukon Denali). You'll also get a flashier exterior, standard navigation, a Bose stereo system, and a slew of other luxury upgrades. When you're shopping cousin cars, remember that the luxury option could come with additional long-term costs, such as a higher insurance rate and more expensive parts and service. It might also require premium fuel, which can cost up to 50 cents more per gallon. To help you shop, here are the standard car brands and their luxury cousins: — Honda and Acura — Volkswagen and Audi — Ford and Lincoln — Hyundai and Genesis — Nissan and Infiniti — Toyota and Lexus When it comes to General Motors, the vehicle hierarchy isn't always quite as clear. The GM family includes Buick, Cadillac, Chevrolet and GMC. Several vehicles share platforms across the brand names with varying degrees of upgrades. As a rule, Chevrolet is the entry point. Buick and GMC are more upscale. Cadillac is strictly luxury. EDMUNDS SAYS: If you're a savvy shopper, you might be able to get a great deal on a used luxury vehicle for not much more than the price of its more humble cousin. Being practical doesn't mean you can't pamper yourself. ____ This story was provided to The Associated Press by the automotive website Edmunds. Matt Jones is a senior consumer advice editor at Edmunds: Twitter @supermattjones. Related links: — 10 Steps to Buying a Used Car: http://edmu.in/2m45A7Z — Comparing Car Costs: Buy New, Buy Used or Lease? http://edmu.in/2wmv0l8",4363,4369,Auto Brand,103
333,"MONTGOMERY, Ala. (AP) — Alabama has entered the fast lane in its bid to become a major auto making hub in the South, landing a coveted $1.6 billion joint venture plant of Toyota and Mazda that is to eventually employ thousands. The new plant will be located in Huntsville, Alabama — already a hub for the region's aerospace industry — and will produce 300,000 vehicles per year, a combination of the Toyota Corolla compact car and a new small crossover SUV from Mazda. Production is expected to begin by 2021. Toyota and Mazda will join Mercedes, Honda and Hyundai which operate assembly plants in Alabama. The Center for Automotive Research says Alabama is tied with Tennessee as the fifth-largest producer of vehicles in the country last year, according to the Center for Automotive Research",557,563,Auto Brand,104
343,"IN THE NEWS: FACEBOOK - PRIVACY SCANDAL SAN FRANCISCO (AP) — Things seem to just get worse with the Facebook privacy scandal. The social networking site now says it shared personal information culled from its users' profiles with other companies after the date when executives said the practice was to have ended. The information shared includes data about friends of Facebook users, including phone numbers and breakdowns analyzing their closeness to the social network's users. The details are provided in a Wall Street Journal report. And in a confirmation of the Journal report, Facebook acknowledged the information was given to a ""small number"" of companies including Nissan, advertisers and other business partners. IN THE NEWS: BITCOIN PRICES TUMBLE SEOUL, South Korea (AP) — It's not the kind of news that will lead you to put confidence in the growing cryptocurrency market. A South Korean cryptocurrency exchange says hackers have stolen about one-third of the coins traded on its market. Coinrail says a number of currencies, including Pundi X, Aston and EPER, were among the bitcoins swiped. It didn't provide a value, but a South Korean news agency says the theft totaled about $37 million lost. If true, that would make it the biggest cryptocurrency theft ever reported in South Korea. Word of the theft sent bitcoin prices tumbling to a two-month low. ON THE WEB:  TONY AWARDS CYBERSPACE (AP) — By now you probably know Robert De Niro uttered not one, but two curse words at President Donald Trump during the Tony Awards last night. But do you know who won for best drama or musical? You can fill in your Tony ""gap"" with a peek at the official site. It has a full list of nominees and winners — as well as exclusive clips from backstage and the red carpet. ___ Online: Tony Awards site: IN STORES: KIA RECALL DETROIT (AP) — Kia is recalling over a half-million vehicles in the U.S. because the air bags may not work in a crash. And Hyundai is expanding its recall for a similar air bag problem. Between the two affiliated automakers, the recalls now cover nearly 1.1 vehicles. The move comes after the National Highway Traffic Safety Administration opened an investigation into the problems in March. The safety agency said at the time it had reports of six front-end crashes with significant damage to the cars. Four people died and six were injured. Vehicles covered by the Kia recall include 2010 through 2013 Forte compact cars and 2011 through 2013 Optima midsize cars. Also covered are Optima Hybrid and Sedona minivans from 2011 and 2012. The Hyundai recalls include the 2011 through 2013 Sonata midsize car and the 2011 and 2012 Sonata Hybrid. Both automakers say they're working on a fix — and will offer loaner vehicles to owners who request them. by Oscar Wells Gabriel II Follow Oscar Wells Gabriel II on Twitter at",1948,1954,Auto Brand,105
346,"GENEVA (AP) — Global automakers are rolling out more electric vehicles at the Geneva International Motor Show as they try to challenge Tesla and get ahead of a disruptive shift in transportation toward lower-emission and autonomous vehicles. For the European carmakers, the mood at the event could be unsettled by U.S. President Donald Trump's threat this weekend to slap tariffs on the region's manufacturers in a potential trade war. And the three big German manufacturers — Volkswagen, Daimler and BMW — will grasp the opportunity to highlight their high-tech creations amid their continued trouble with diesel technology, such as the legal attempts to ban diesel in German cities and the scandal over exposing monkeys to exhaust in lab tests. The carmakers will show off their wares during press days Monday evening through Wednesday; the show opens to the public Thursday and runs through March 18. Here are the top themes. ___ ELECTRIC AND AUTONOMOUS The biggest trend in autos is the race to make new technologies affordable and functional. Some of the vehicles on show — such as Volkswagen's autonomous and battery-driven I.D. Vizzion — will be concepts not yet ready for production. Others will have vehicles that are ready to go on sale in coming months, such as Jaguar Land Rover with the Jaguar I-Pace, a battery-driven SUV advertising 310 miles (498 kilometers) of range and rapid-charging capability. Mercedes-Benz will have an addition to its EQ electric brand. Hyundai will show its Kona Electric, with either a 300-kilometer (186-mile) or 470-kilometer (292-mile) range. Luxury carmakers like BMW and Jaguar are eager to grab back some of the sales of high-end vehicles taken by Tesla with its electric Model S high-performance sedan and Model X SUV. When it comes to technological change there will be more than vehicles to talk about. The German automakers and Ford are working to build a network of fast-charging stations across Europe through their joint venture, Ionity. The idea is to make electric vehicles more appealing by enabling longer trips. Currently, many electric models are charged over several hours at home at night and used for short commutes, limiting their use. Ionity's 350 kilowatt-per-hour charging capacity could cut charge times to 15 minutes or less. Automakers are under pressure to come up with vehicles propelled by something other than internal combustion engines to comply with government efforts to reduce air pollution and emissions of greenhouse gases blamed by scientists for global warming. The issue became even more pressing after a German court said last week that polluted cities can ban older-model diesels. Diesel sales had already slipped after Volkswagen's 2015 scandal over cheating on emissions tests. Autonomous vehicles could herald a shift to transportation as a service with less incentive to own a car. Analysts at IHS Markit estimate that autonomous cars will have their first significant sales volume with 51,000 units in 2021 and surpass 33 million per year by 2040. ___ MONKEY BUSINESS All three German auto makers have condemned the 2014 experiment in which Volkswagen had macaque monkeys exposed to diesel exhaust at a lab in New Mexico. The tests were commissioned through a now-disbanded organization whose board had representatives from BMW, Volkswagen and Daimler. They have said they're investigating how the tests happened. The show won't erase public indignation or media questions but at least offers a chance to talk about something other than a PR disaster. ___ SEEN THAT ALREADY Some of the more important vehicles at the show have already been revealed as companies use stand-alone events to show off their new cars rather than putting them on display in a crowd of other vehicles. That's the case with Mercedes-Benz A-Class, its small entry model hatchback that was unveiled Feb. 2 in Amsterdam. The car features voice-activated control of navigation, phone, music and heating and air conditioning somewhat like Amazon and Google's devices for home use. The Jaguar I-Pace had a digital unveiling from Graz, Austria on Thursday ahead of the show — showing it beating two Tesla models in a race. ___ IF YOU HAVE TO ASK HOW MUCH Geneva is typically a place to show off gorgeous, extremely fast and very, very expensive vehicles. A taste: Luxury sports car maker McLaren offers the low-slung Senna, named after the race driver Ayrton Senna. Its 800 horsepower turbocharged V8 engine takes it to a top speed of 340 kph (211 mph).  Just 500 of the sleek, carbon-fiber vehicles will be built, hand-assembled at the company's production center in Woking, Surrey, England. The price:  750,000 pounds including tax, which translates to $1.03 million at today's exchange rate. Want one? Sorry. The company says it has buyers for all of them.",1477,1483,Auto Brand,106
347,"SEOUL, South Korea (AP) — Hyundai Motor says its fourth-quarter earnings rose a lower-than-expected 3 percent, hurt by weaker overseas sales, while its operating income slumped to its lowest level since 2010. South Korea's largest automaker said Thursday its October-December net profit was 1.03 trillion won ($970 million) on sales of 24.5 trillion won ($23 billion). Operating income slumped 24 percent to 775 billion won ($730 million), missing estimates. Hyundai's annual net profit in 2017 was the lowest in eight years, sinking 25 percent to 4 trillion won ($3.8 billion). Hyundai said demand overseas was hurt by friction between China and South Korea over Seoul's deployment of a U.S. missile defense system. The maker of Kona SUVs sold 4.5 million vehicles in 2017, down 6 percent from a year earlier.",26,32,Auto Brand,107
372,"MONTGOMERY, Ala. (AP) — Japanese automakers Toyota and Mazda on Wednesday announced plans to build a huge $1.6 billion joint-venture plant in Alabama that will eventually employ about 4,000 people. Several states had competed for the coveted project, which will be able to turn out 300,000 vehicles per year and will produce the Toyota Corolla compact car for North America and a new small SUV from Mazda. Alabama Gov. Kay Ivey and company executives held a joint news conference to announce that the facility is coming to the Huntsville area not far from the Tennessee line. Production is expected to begin by 2021. ""This is indeed a great day in Alabama,"" Ivey said. ""Thank you for believing in the potential of our people in the great state of Alabama. ... Toyota and Mazda, thank you so much. Welcome to sweet home Alabama."" To lure the plant, the state offered an incentive package of $370 million in tax abatements and investment rebates, Alabama Commerce Secretary Greg Canfield said. That figure does not include a local incentive package still being finalized. The state will also provide workforce training. Akio Toyoda, president of Toyota Motors, said the new facility is something of a homecoming since the company already has one plant in the state. The new Huntsville plant will be just 14 miles (22 kilometers) from Toyota Motor Manufacturing of Alabama, which produces four-cylinder, V-6 and V-8 engines for several Toyota models. The decision to pick Alabama is another example of foreign-based automakers building U.S. factories in the South. To entice manufacturers, Southern states have used a combination of lucrative incentive packages, low-cost labor and a pro-business labor environment since the United Auto Workers union is stronger in Northern states. North Carolina apparently was a finalist in the running for the huge factory but remains one of the few Southeast states not to land a modern carmaker. Alabama was tied with Tennessee as the fifth-largest producer of vehicles in the country last year, according to the Center for Automotive Research, an industry think tank in Ann Arbor, Michigan. The state produced 9 percent of the cars made in the U.S., the center said. ""Alabama won a first place trophy today in being selected for that plant,"" said Dave Sullivan, product analysis manager at AutoPacific Inc., an automotive research company. Sullivan said the factory itself is a huge asset for the state, but it will also cause economic ripples by bringing spinoff jobs at suppliers and service companies in the area. U.S. sales of small cars fell nearly 10 percent last year as buyers continued a massive shift toward SUVs and pickup trucks. Corolla sales fell 14 percent for the year, to just less than 309,000, according to Autodata Corp. Still, Toyota and Mazda have said their collaboration will respect mutual independence and equality. Toyota, which makes the Prius hybrid, Camry sedan and Lexus luxury models, already provides hybrid technology to Mazda, which makes compact cars for Toyota at its Mexico plant. The sheer cost of the plant also makes a partnership logical, as it boosts cost-efficiency and economies of scale. Working together on green and other auto technology also makes sense as the segment becomes increasingly competitive because of concerns about global warming, the environment and safety. Alabama started on the road to becoming an auto manufacturing hub in 1993 when Mercedes chose it as the location for a manufacturing plant after the state offered a then-eye popping $250 million incentive package. Honda and Toyota followed by putting engine plants in the state. In 2002, Hyundai announced an assembly facility in Montgomery. ____ AP Auto Writer Tom Krisher contributed to this story from Detroit, Michigan.",3646,3652,Auto Brand,108
396,"DETROIT (AP) — Hyundai and Volkswagen each say they're partnering with a U.S. autonomous vehicle tech firm led by former executives from Google, Tesla and Uber. The companies on Thursday announced partnerships with Aurora Innovation, started last year by ex-Google autonomous car chief Chris Urmson and others. VW says its collaboration will help bring self-driving cars quickly to roads worldwide, while autonomous Hyundais are expected to be in the market by 2021. The partnerships are the latest in a string of tie-ups between traditional auto companies and tech firms as they race to be first with self-driving vehicles. Aurora is based in Pittsburgh and Palo Alto, California. It was started last year by Urmson, former Tesla executive Sterling Anderson, and ex-Uber autonomous vehicle leader Drew Bagnell. Terms of each partnership were not released.",15,21,Auto Brand,88
397,"Here are AP Business News' latest coverage plans, top stories and promotable content. All times EDT. TOP STORIES: FACEBOOK-PRIVACY SCANDAL-APP PRIVACY — The news that Facebook's Android app has been collecting call and text histories is yet another black eye for the social media giant. But just why was Facebook able to siphon off records of who its users were contacting — and when — in the first place? By Ryan Nakashima and Mae Anderson. SENT: 900 words, photos. With: FACEBOOK-PRIVACY SCANDAL — The computer expert who sparked a global debate over electronic privacy said Tuesday that the official campaign backing Britain's exit from the European Union had access to data that was inappropriately collected from millions of Facebook users. By Danica Kirka. SENT: 460 words, photos. AUTOS-CUTTING EDGE SAFETY — Autonomous vehicles get all the headlines, but automakers are gradually adding advanced electronic safety features to human-driven cars as they step toward a world of self-driving vehicles. By Tom Krisher. SENT: 830 words, photos, video. MARKETS & ECONOMY: FINANCIAL MARKETS — A steep, late-afternoon sell-off in technology companies pull U.S. stocks sharply lower, knocking 344 points off the Dow Jones industrial average. By Alex Veiga. SENT: 850 words, photos. HOME PRICES — U.S. home prices posted another big gain in January, pushed higher by a shortage of homes for sale. By Paul Wiseman. SENT: 380 words, photos. CONSUMER CONFIDENCE — American consumers' confidence has slipped after reaching an 18-year high last month. SENT: 280 words, photos. SKOREA-US-TRADE — Unions at South Korea's two-largest automakers, Hyundai Motor Co. and Kia Motors Corp., have blasted plans to revise a free trade deal with the United States, saying the amended deal will prevent local automakers from entering the fast-growing U.S. pick-up truck market. By Youkyung Lee. SENT: 400 words, photos. INDUSTRY: WYNN RESORTS-LAWSUIT — Lawyers for the casino mogul's ex-wife say they have evidence of Steve Wynn's pattern of reckless behavior and mismanagement of Las Vegas-based Wynn Resorts and will present it during a hearing scheduled to begin Tuesday in state court in Las Vegas. It's the latest move in a yearslong case involving him, Elaine Wynn and the company they founded. By Regina Garcia Cano. SENT: 610 words, photos. UPCOMING: Will be updated from 1:30 p.m. hearing. WAYMO-JAGUAR — Self-driving car spinoff Waymo will buy up to 20,000 electric vehicles from Jaguar Land Rover to help realize its vision for a robotic ride-hailing service. SENT: 410 words, photos. TAX OVERHAUL-MCCORMICK — McCormick & Co. is the latest company to offer employees bonuses, citing sweeping tax reforms that slashed corporate tax rates. SENT: 100 words. FORESTS-GREENPEACE — Greenpeace is withdrawing from the main global group for certifying sustainable wood, saying the organization it helped found more than two decades ago is failing to protect natural forests from exploitation. By Stephen Wright. SENT: 520 words, photos. TRUMP-NATIONAL MONUMENTS-ATLANTIC — A federal court has ruled that a group of fishing organizations can move forward with a lawsuit that seeks to eliminate the first national marine monument in the Atlantic Ocean. By Patrick Whittle. SENT: 140 words. TECHNOLOGY & MEDIA: FACEBOOK LAWSUIT — Fair housing advocates have sued Facebook, saying it lets landlords and real estate brokers target advertising to discriminate against families with children, women and others. SENT: 450 words, photos. VIDEO GAME HALL OF FAME — TCalling all gamers to help pick World Video Game Hall of Fame inductees. Twelve finalists were named Tuesday for the class of 2018, pitting ""Ms. Pac-Man"" against ""John Madden Football."" SENT: 570 words. APPLE EDUCATION — Apple is adding the ability to use a digital pencil to draw and write on its cheapest iPad model in an attempt to make the tablet more compelling for creating, teaching and learning. Apple's pencil previously worked only on its more expensive iPad Pro line. Apple wants to play a more prominent role in education, but isn't willing to drastically lower its prices to make the grade. By Michael Tarm and Michael Liedtke. SENT: 300 words, photos. HEINEKEN COMMERCIAL PULLED — Heineken has removed a commercial for its light beer after some complaints that it was racist. SENT: 120 words, photo. TESLA-CRASH INVESTIGATION — The National Transportation Safety Board has sent two investigators to look into a fatal crash and fire Friday in California that involved a Tesla electric SUV. SENT: 350 words, photo. PERSONAL FINANCE: NERDWALLET-ASK BRIANNA-HELP PARENTS — Especially if your parents helped pay for college, you might want to return the favor and help them financially in your 20s and 30s. But first, assess whether they're facing money trouble; if not, focus on growing your earning power so you're ready if they need help in the future. By NerdWallet columnist Brianna McGurran. SENT: 800 words, photos. WASHINGTON: AP POLL-TRUMP — A growing American economy and passage of a Republican tax overhaul appear to be helping President Donald Trump lift his approval ratings from historic lows, according to a new poll by The Associated Press-NORC Center for Public Affairs Research. By Julie Pace and Emily Swanson. SENT: 1,030 words, photos. KUSHNER-LOANS — Two House Democrats pressed the White House counsel's office Tuesday to provide results from a newly revealed internal inquiry into more than $500 million in loans made last year by two companies to Trump administration senior adviser Jared Kushner's family firm. The loans coincided with Kushner's meetings with executives of those companies. By Stephen Braun. SENT: 540 words, photos. INTERNATIONAL: HONG KONG-SKYLINE FARMS — High above downtown Hong Kong's bustling, traffic-clogged streets, a group of office workers was toiling away not on a corporate acquisition or a public share offering but on harvesting a bumper crop of lettuce atop one of the skyscrapers studding the city's skyline. By Kelvin Chan. SENT: 780 words, photos. GREECE-BAILOUT — Europe's bailout fund has approved a 6.7 billion euro ($8.32 billion) loan installment to Greece as part of its third international rescue program, with payment of the first 5.7 billion euros expected this week. SENT: 270 words, photos. LATVIA-MONEY LAUNDERING — The former head of NATO has asked the prime minister of Latvia to create an international task force to guide the country in cleaning up its banking sector, which has been rocked by accusations of money laundering and bribery. By Carlo Piovano. SENT: 500 words. MONEY & MARKETS SUMMARY: SPOTLIGHT Hats off Red Hat leapt to an all-time high after the Raleigh, North Carolina-based open source software developer posted a 40 percent jump in operating profit and forecast higher sales and profit this year. CENTERPIECE Lull before buyback storm Companies bought back fewer of their own shares last year, but analysts expect the trend to snap back sharply this year, as lower tax rates help boost stock buybacks to heights last seen before the Great Recession. Business News Supervisor Alexandra Olson (800-845-8450, ext. 1680). For photos (ext. 1900.) For graphics/interactives (ext. 7636.) For access to AP Newsroom and technical issues: customersupport@ap.org, or 877-836-9477. Questions about transmission of financial market listings, call 800-3AP-STOX. The full digest for AP's Money & Markets service can be found at markets.ap.org. For questions about M&M content, contact Greg Keller at (212) 621-7958.",1635,1641,Auto Brand,109
